,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
72,"Columbus, OH M.S.A.2",0.2639024376289116,0.3898373437289955,0.37736508324743595,0.6234093721543819,0.11315950273690573,0.37666467002646886,0.4192572562236976,0.3581752044363637,0.3754804685842992
73,"Corpus Christi, TX M.S.A.",0.43332923295218834,0.3360666756284444,0.466465172347525,0.32046043568610083,0.4658381787174972,0.4114511294457737,0.3259852617324177,0.45822272382994605,0.19239268907781512
74,"Corvallis, OR M.S.A.2",0.08346182783548503,0.0,0.18082076905606306,0.056912372457914084,0.08154297186873921,0.19393406913680575,0.13617423984042518,0.22146478212904677,0.09811206121535807
75,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",0.26476065693827383,0.11426266971367109,0.25856496444731725,0.185913750029186,0.29306501508438526,0.2589177219767832,0.2341493256628666,0.27200975507807895,0.1863718652375421
76,"Cumberland, MD-WV M.S.A.",0.28063771416147665,0.3360666756284444,0.28739146386205194,0.15993835952275343,0.3191459917264755,0.2716067329749282,0.27676435932766613,0.2843663229116955,0.08716510877849803
77,"Dallas-Fort Worth-Arlington, TX M.S.A.",0.2664770955569985,0.3159026750907377,0.24633554045318737,0.38233439958906384,0.22206088683836817,0.3189760931958779,0.332627031932913,0.3011468471301871,0.4267943081320806
78,"Dallas-Plano-Irving, TX M.D.",0.2553202445352884,0.3159026750907377,0.22973846503258258,0.41414695650143635,0.19597991019627792,0.3061102318702326,0.325698050048072,0.2812517559165967,0.46825589048668803
79,"Fort Worth-Arlington, TX M.D.",0.28921990725509983,0.3226240086033066,0.27952969129439703,0.3175418524831309,0.27550027571318164,0.3452825794115444,0.3467722073869408,0.3418523308783764,0.3419554267464154
80,"Dalton, GA M.S.A.",0.17922479910516323,0.25541067347761776,0.21314138961197773,0.09543767073711747,0.20183482332001246,0.26991781234730056,0.26577851240144146,0.2695435265186946,0.2625900215791801
81,"Danville, IL M.S.A.2",0.4334722695037488,0.08737733566339555,0.6979506979506976,0.3662821919727291,0.4251731457490136,0.347572791152673,0.5134985901496444,0.30384190101982356,0.15093110672320775
82,"Danville, VA M.S.A.",0.14804283086499917,0.7595106869202843,0.22275022275022263,0.18766489995096797,0.11273369087336142,0.2478115214097657,0.2714868446278131,0.24368626420020076,0.17720379257167182
83,"Davenport-Moline-Rock Island, IA-IL M.S.A.2",0.3298422878982493,0.12098400322623998,0.39658274952392575,0.24049125592472415,0.3529980348782497,0.25868781655103285,0.23978585496815175,0.2712597164955858,0.16940408896040904
84,"Dayton, OH M.S.A.",0.22492497732870648,0.3293453421158755,0.276909100438512,0.4170655397044063,0.14360505098032536,0.29716160529871855,0.3364684882110373,0.2850782239391466,0.24740112507303683
85,"Decatur, AL M.S.A.",0.13624231536126732,0.1747546713267911,0.15374133021191838,0.16373251768661437,0.12156928704190625,0.23262007827749173,0.2451710740496344,0.231024595926248,0.17857216162627934
86,"Decatur, IL M.S.A.2",0.3688197481984545,0.25541067347761776,0.24633554045318737,0.3756216582222329,0.377908028895593,0.30347516199047847,0.5685355291623972,0.2182739400238639,0.17994053068088683
87,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",0.38884486541690844,0.22852533942734218,0.2533237827355473,0.2866048705316494,0.439757202075407,0.32471488632326195,0.34501303582032317,0.3113041492897134,0.35906003992900914
88,"Denver-Aurora-Broomfield, CO M.S.A.2",0.24108810765503005,0.1680333378142222,0.42715630950925043,0.23319479791729927,0.21908020379355786,0.2450614988171364,0.18977512043144934,0.2480847955483811,0.39874274251262676
89,"Des Moines-West Des Moines, IA M.S.A.",0.20661629872897708,0.10754133620110222,0.2978738272855918,0.1374652688598848,0.21939956269121608,0.25189676397502214,0.22187102615708604,0.26040322582695563,0.2493168417494873
