,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All,Burglary,Larceny,Car Theft
77,"Florence, SC M.S.A.",0.7947220148308006,0.6177197317331451,0.39803816545364806,0.541022388315562,0.9217695320973323,0.5644140147116742,0.6292229486062463,0.5660817146463861,0.37948686921652286
78,"Fort Collins-Loveland, CO M.S.A.",0.20044177952435221,0.1411930815390046,0.4726046819370491,0.08057050776562551,0.20824029296551025,0.3278258524914716,0.245996072525566,0.36941231443932526,0.16727897718933235
79,"Fort Lauderdale, FL M.S.A.",0.5180728377761868,0.34415813625132363,0.33922513836814855,0.6065073542016661,0.4976330530425797,0.4061930528498893,0.3739948108099789,0.3854868497672005,0.6357273386284471
80,"Fort Myers-Cape Coral, FL M.S.A.",0.5269221748061946,0.33533356865513586,0.4011888633332284,0.6644495491480097,0.4816832757014714,0.4317579925400059,0.48578935119737937,0.37399719471217785,0.7616627507924187
81,"Fort Pierce-Port St. Lucie, FL M.S.A.",0.5226263801314335,0.7500882456759619,0.27096001764390815,0.3922240888675557,0.5864414132778709,0.34837364831738393,0.42650218203709345,0.332815635375179,0.2807777071912035
82,"Fort Walton Beach, FL M.S.A.",0.3153113291274636,0.24708789269325798,0.47890607769620974,0.25748277162546707,0.31070166260479015,0.26574236467476925,0.26412361735397455,0.2714139304037137,0.2136644403885176
83,"Fort Wayne, IN M.S.A.",0.20611222849503688,0.44122837980938934,0.2814623439091759,0.3438817842081804,0.1375508797897182,0.3379872803178033,0.2786929703593003,0.3477096326687269,0.3846408095719879
84,"Fort Worth-Arlington, TX M.S.A.",0.4028596245990945,0.5118249205788916,0.40749025909238895,0.4529091096101757,0.37271439690701935,0.46099043505483317,0.4407830330027098,0.4544385072837822,0.5449731714996064
85,"Fresno, CA M.S.A.",0.6540776971791227,0.46770208259795265,0.3686316519108983,0.66822093461789,0.6711666305138383,0.500384305395992,0.4543426288690525,0.4462708313486108,1.0313482820012085
86,"Gainesville, FL M.S.A.",0.8574406170823125,0.3794564066360748,0.7204595817973681,0.6908492474371719,0.9233007107220788,0.589147653761523,0.6445616403841306,0.5804128972956617,0.5102400951910377
87,"Glens Falls, NY M.S.A.",0.22226441647213852,0.0,0.2068958274257748,0.04045668049508005,0.289775554733256,0.2074926398108312,0.2070482971647942,0.2228059631996094,0.0759645991522889
88,"Goldsboro, NC M.S.A.",0.4912670790056776,0.4500529474055771,0.12497768255668633,0.5074227723111734,0.5189419555703004,0.43095603192233584,0.5768598283989865,0.39512333465205823,0.3679465245075468
89,"Grand Forks, ND-MN M.S.A.7",0.15018098182964754,0.18531591951994353,0.6805507419893507,0.05657078204820515,0.11675237013691293,0.3283148528680997,0.2575842377872277,0.3473389986346939,0.3260427485739833
90,"Grand Junction, CO M.S.A.",0.17234728235141472,0.4324038122132016,0.25835722612558687,0.05622792882367057,0.19752204259228548,0.3627502593902498,0.28273199891523215,0.40944079011488815,0.15506637939051304
91,"Grand Rapids-Muskegon-Holland, MI M.S.A.",0.36797777184003455,0.2117896223085069,0.5083125912389594,0.30342510371310033,0.36875885212642445,0.339757461681197,0.33153692729940915,0.34555446439675735,0.29937670934353383
92,"Great Falls, MT M.S.A.5",0.0,0.22061418990469467,0.21004652530535517,0.1542839510405595,0.0,0.5236900633460868,0.24522673375300752,0.6377650822656554,0.22262781491976114
93,"Greeley, CO M.S.A.",0.30087745902026636,0.20296505471231904,0.4232437484902906,0.1439983543045222,0.33890086894386967,0.4040512312002582,0.3790916801781786,0.4215893501193028,0.3046426918806394
94,"Green Bay, WI M.S.A.",0.1476894209182861,0.07942110836569008,0.29616560068055076,0.11725580279082523,0.1385716655395491,0.26246606215136103,0.21555910733622208,0.28941027183398227,0.14240561286513154
95,"Greensboro-Winston-Salem-High Point, NC M.S.A.",0.4769191247919757,0.5206494881750795,0.31086885745192566,0.679535091027531,0.4101006749945772,0.45420310982723516,0.5461824448432182,0.43539889968364315,0.3771339834020715
96,"Greenville, NC M.S.A.",0.5686772990448724,0.9971761383692199,0.30981862482539885,0.487537285288168,0.6109402712738132,0.6216661788072909,0.7492878807986502,0.6024724859138474,0.45847660727310646
97,"Hagerstown, MD M.S.A.",0.28816190678297354,0.4059301094246381,0.1680372202442841,0.17828367675797988,0.3353281188194614,0.23621652193396522,0.24614032354542065,0.2290792874052789,0.26285095812871645
98,"Hamilton-Middletown, OH M.S.A.",0.28085905583587967,0.2647370278856336,0.4558009599126207,0.29725374567147794,0.24728534789654347,0.40942045533563476,0.3924108576780969,0.42813721805388566,0.28144996028104674
99,"Hartford, CT M.S.A.",0.2796562333269466,0.24708789269325798,0.18799164014829287,0.5091370384338464,0.19943601587321852,0.33492613796011145,0.2775870458737475,0.32842293571256576,0.5095678421011945
100,"Hickory-Morganton-Lenoir, NC M.S.A.",0.22355315487456684,0.3882809742322626,0.1869414075217661,0.21702609113038704,0.22291408811932995,0.34053986228380195,0.4654018737245803,0.3185530886581317,0.21668957929281227
101,"Honolulu, HI M.S.A.",0.2238109025550525,0.20296505471231904,0.285663274415283,0.3819384921315184,0.1527350678184533,0.49094659812706987,0.37798575569262594,0.5001912197071879,0.6611609138608507
102,"Houma, LA M.S.A.",0.460423273240893,0.1323685139428168,0.3224214163437202,0.2430829361950149,0.5523726888772634,0.4028874103038834,0.4271753534630821,0.4128451323534134,0.2506383603298971
103,"Houston, TX M.S.A.",0.6162747040412252,0.6794917049064595,0.36338048877826445,0.8300476565982101,0.5523726888772634,0.4233765260846004,0.4613628451686484,0.37394228596639517,0.723008198126431
104,"Huntsville, AL M.S.A.",0.40165680209016147,0.22943875750088247,0.24995536511337266,0.36513868412932415,0.4268160416480588,0.4073666537537967,0.3791878475247485,0.4247054214424691,0.3169673318610992
